model,held_out,H,f1_macro,f1_xmode,f1_zmode,auc_roc,auc_pr,mcc,bal_acc,brier,detection_rate,mean_timing_err,false_toggle_rate,n_true_switches
CNN,Monaco,10,0.8032323604143743,0.6553277765262446,0.9511369443025038,0.8291277558217712,0.5995283655175463,0.6099648533898872,0.7827675990446922,0.07641219788924385,0.4411764705882353,1.1575757575757575,0.8716577540106952,374
CNN,Monza,10,0.8689658365960482,0.897860573424538,0.8400710997675584,0.907037009449701,0.8889071603794665,0.7561878249740371,0.8612423945531138,0.10044653700423674,0.5354609929078015,0.2814569536423841,0.5886524822695035,564
CNN,Silverstone,10,0.8047710490933146,0.7949897517649738,0.8145523464216555,0.9303691305314225,0.8828891970018787,0.6651209964198547,0.8389205988926046,0.15671374462464677,0.4489247311827957,-0.49101796407185627,0.717741935483871,372
CNN,Suzuka,10,0.5490460794113515,0.28658012203611943,0.8115120367865837,0.5209613479567035,0.49847663342656456,0.25622694751450587,0.5734470022960052,0.2659131903490131,0.21137206427688504,0.9707602339181286,0.6588380716934487,809
LSTM,Monaco,10,0.704933179658767,0.4694640631491483,0.9404022961683857,0.8805059394395498,0.5598123879090409,0.44932724713665984,0.6642318813679438,0.09653358306590577,0.33689839572192515,1.492063492063492,0.9358288770053476,374
LSTM,Monza,10,0.8254983152587791,0.8517157241251506,0.7992809063924077,0.8734669559839631,0.8468824341794571,0.6522547444162674,0.8234259657215599,0.15331306910578724,0.6400709219858156,-0.42382271468144045,0.5567375886524822,564
LSTM,Silverstone,10,0.9069309765744542,0.8863585869806709,0.9275033661682376,0.9709660970754479,0.9520849953718086,0.8141183367447339,0.9092098464294767,0.07615119926484966,0.7903225806451613,0.54421768707483,0.6827956989247311,372
LSTM,Suzuka,10,0.5816848943590631,0.3738305038614636,0.7895392848566626,0.7863674263141462,0.5774322637398615,0.21773608409510187,0.5854406456289799,0.2809034860831651,0.35970333745364647,1.731958762886598,1.2175525339925835,809
GRU,Monaco,10,0.7102379346457462,0.49608746918212027,0.9243884001093723,0.8669573871794052,0.49509820787898245,0.4209302181747371,0.7042471167307868,0.10418314423396516,0.5668449197860963,0.19339622641509435,2.435828877005348,374
GRU,Monza,10,0.8801193477291016,0.9051746936616615,0.8550640017965416,0.9187112243190572,0.9156716954842508,0.7744460866103263,0.872855321393185,0.10083427859835101,0.5851063829787234,0.045454545454545456,0.7783687943262412,564
