f1_macro,f1_xmode,f1_zmode,auc_roc,auc_pr,mcc,bal_acc,brier,model,held_out,H,stopped_epoch
0.4056064444604839,0.175441727645904,0.6357711612750637,0.3840023774360139,0.339378554882648,-0.1819365753264806,0.4161114157992484,0.4058953613893801,RF-lag,Suzuka,50,
0.985742784082076,0.975254730713246,0.996230837450906,0.9996781990205258,0.9979965779168818,0.971519964210956,0.9827722772095756,0.0047461926604031,XGBoost-instant,Monaco,1,
0.9769967608719208,0.9600748596381784,0.9939186621056632,0.9740798115393118,0.9280320837036607,0.9540274437503964,0.9740798115393118,0.0105549600065968,Persistence,Monaco,1,
0.9898960190091374,0.9913463596611932,0.9884456783570816,0.9996084685300424,0.9996923779562052,0.979880273602138,0.9890019236010577,0.0076564836221879,XGBoost-instant,Monza,1,
0.9799010904592936,0.9826546930741789,0.9771474878444084,0.9799010904592936,0.97547107524934,0.9598021809185872,0.9799010904592936,0.0197216588572627,Persistence,Monza,1,
0.9913853361936028,0.989499015532706,0.9932716568544996,0.9997547485522232,0.999618604530168,0.9827823071097468,0.9919128266023683,0.0060626783450893,XGBoost-instant,Silverstone,1,
0.9829353277350128,0.9791666666666666,0.986703988803359,0.9830313258532256,0.9666702550150722,0.96587105158007,0.9830313258532256,0.0162323793250747,Persistence,Silverstone,1,
0.9872658114218076,0.9834096248395456,0.9911219980040696,0.9990727062542362,0.9981676399558648,0.974562545641045,0.9884512696105624,0.0094912763994224,XGBoost-instant,Suzuka,1,
0.9847015291348036,0.9800150921350502,0.9893879661345568,0.9847292062215808,0.9673188103784404,0.9694030753402836,0.9847292062215808,0.0138628573358323,Persistence,Suzuka,1,
0.9538655807777314,0.9197360017032148,0.9879951598522482,0.9967774155005464,0.9773151773194808,0.908332558865516,0.94223329316925,0.0158687418112688,XGBoost-instant,Monaco,5,
0.8864740753918572,0.8023131291497109,0.9706350216340036,0.8746985943521896,0.6750266068899329,0.7737124778626835,0.8746985943521897,0.0511343176089305,Persistence,Monaco,5,
0.956744119495663,0.9635467380720544,0.9499415009192712,0.9909549065754952,0.9920302469830354,0.9148834889766224,0.9535695108876998,0.0345858983827599,XGBoost-instant,Monza,5,
