model,held_out,H,n_test,xmode_rate,f1_macro,f1_xmode,f1_zmode,auc_roc,auc_pr
RF-lag,Monza,25,27398,0.5573399518213008,0.648560449142358,0.6352842999658612,0.6618365983188549,0.7368102821162781,0.8108120222444494
LR-instant,Silverstone,25,22618,0.37324255018127156,0.7689802987553158,0.7553446412629798,0.7826159562476517,0.8560376360431531,0.6868778240841616
RF-instant,Silverstone,25,22618,0.37324255018127156,0.820095941587491,0.7927420616299077,0.8474498215450743,0.8827179346000836,0.7646290605533164
RF-lag,Silverstone,25,22618,0.37324255018127156,0.8179441935351146,0.7765634834353722,0.8593249036348571,0.8504492069575267,0.7096268586045605
LR-instant,Suzuka,25,57087,0.33669662094697567,0.6230618564126212,0.46885838792873447,0.777265324896508,0.7681008990014769,0.5830494048852337
RF-instant,Suzuka,25,57087,0.33669662094697567,0.46491105571219454,0.20283585676520066,0.7269862546591884,0.6663974066057374,0.3961783219641021
RF-lag,Suzuka,25,57087,0.33669662094697567,0.40524296223263806,0.16790065877689034,0.6425852656883858,0.5196120815662848,0.3561683920555345
LR-instant,Monaco,50,32951,0.10005766137598252,0.5175862975760793,0.1516218254966055,0.8835507696555532,0.5893050225061589,0.11921024576883923
RF-instant,Monaco,50,32951,0.10005766137598252,0.4776481499952234,0.011318619128466326,0.9439776808619805,0.7444243658726276,0.1932711353413493
RF-lag,Monaco,50,32951,0.10005766137598252,0.47366823736123315,0.0,0.9473364747224663,0.726439030853447,0.16836315354993084
LR-instant,Monza,50,26148,0.5834480648615573,0.4252885715941271,0.6221120701934307,0.22846507299482346,0.38856496572825133,0.5492743766342019
RF-instant,Monza,50,26148,0.5834480648615573,0.48139567572008335,0.5487103107440254,0.4140810406961413,0.48371299668423023,0.6262044827728346
RF-lag,Monza,50,26148,0.5834480648615573,0.37670237615470126,0.26612115858477847,0.48728359372462404,0.4039554746261189,0.5167244236928421
LR-instant,Silverstone,50,21793,0.3800761712476483,0.28192640070215974,0.5507962474543452,0.013056553949974327,0.5001071103067263,0.41785755445810385
RF-instant,Silverstone,50,21793,0.3800761712476483,0.4850640209533955,0.47419490929545777,0.4959331326113333,0.48258158179921906,0.3721221850137736
RF-lag,Silverstone,50,21793,0.3800761712476483,0.38167177097904054,0.06920222634508348,0.6941413156129976,0.30131057315273824,0.2808314910065783
LR-instant,Suzuka,50,54862,0.35035179176843717,0.392674750615211,0.003551316523768454,0.7817981847066535,0.40425635574742,0.2968900975633075
RF-instant,Suzuka,50,54862,0.35035179176843717,0.3917385234982313,0.15092631705992396,0.6325507299365386,0.5353001491363488,0.34092199359642683
RF-lag,Suzuka,50,54862,0.35035179176843717,0.39431699838237555,0.1705117085862966,0.6181222881784545,0.4320402747536743,0.33966352033085623
